ID;Systeem;Subthema;Categorie;Onderwerp;Omschrijving melding;Toelichting melding;Soort melding;Antwoord of oplossing
193;Exact;1. INRICHTING;1.5 RELATIES;Hoe kan ik crediteuren of debiteuren aanmaken?;Hoe kan ik crediteuren of debiteuren aanmaken?;;FAQ;"Via het pad Relaties > Klanten (=debiteuren) of Leveranciers (=crediteuren) > Aanmaken
komt u bij de opties:
o
Handmatig: u vult dan alle gegevens zelf in
o
Zoek een bedrijf op basis van naam en adres: de bedrijfsgegevens worden dan voor een
groot deel automatisch opgehaald van de website van de Kamer van Koophandel.
Let op: een bankrekeningnummer zult u zelf handmatig moeten toevoegen, hetgeen o.a.
relevant is om via Exact Online te kunnen betalen en om Exact Online in staat te stellen
aan bankmutaties automatisch het juiste relatienummer te verbinden.
o
Postcode en huisnummer: op basis van de postcode-huisnummer tabel van PostNL haalt
Exact Online de straatnaam en woonplaats op.
In het geval dat er een groot aantal crediteuren moet worden aangemaakt, kan er in
samenspraak met IPAL worden gekeken naar importmogelijkheden.
Let op: Als u in het inkoopboek de naam van een nog niet bekende crediteur intikt, vraagt
Exact Online u of u deze wilt aanmaken in uw relatiebestand. Door dan te klikken op
nieuwe relatie aanmaken kunt u ter plekke al enkele essentiële gegevens van deze
nieuwe crediteur invoeren (Exact Online kent hem zelf een nummer toe). U kunt er ook
voor kiezen om middels de F2-toets naar het scherm Relaties te gaan en vervolgens via
de optie Nieuw de gegevens handmatig in te vullen dan wel via het pad Nieuw > Zoeken:
Adres de gegevens op te halen van de website van de Kamer van Koophandel. Middels
de optie Sluiten keert u weer terug in het inkoopboek."
194;Exact;1. INRICHTING;1.5 RELATIES;Welke nummering moet ik geven aan debiteuren?;Welke nummering moet ik geven aan debiteuren?;;FAQ;"Debiteuren (parochianen) die in DocBase worden geregistreerd ten behoeve van de
kerkbijdragen worden automatisch overgezet naar Exact Online. Echter alle overige
debiteuren worden niet in DocBase geregistreerd. Denk hierbij aan debiteuren voor
grafrechten, parochiebladen, uitvaarten etc. Om deze debiteuren op een praktische
manier te kunnen scheiden van de debiteuren ten behoeve van de kerkbijdragen, is het
van belang om deze een specifieke nummering te geven. De notatie die u dient te
hanteren is het KASKI-nummer gevolgd door een volgnummer van 4 cijfers. Bijvoorbeeld:
999990001"
195;Exact;1. INRICHTING;1.6 DIGITALE BRIEVENBUS / SCAN EN HERKEN;Wat is een digitale brievenbus?;Wat is een digitale brievenbus?;;FAQ;"Een digitale brievenbus maakt het mogelijk om inkoopfacturen te e-mailen naar Exact
Online. Dit kan vanuit een e-mailprogramma of direct vanuit een scanner. Dit heeft als
voordeel dat de facturen digitaal en veilig worden opgeslagen en dat de digitale factuur
direct aan de boeking kan worden gekoppeld. Later is het dan eenvoudiger om een
factuur terug te vinden in Exact Online."
196;Exact;1. INRICHTING;1.6 DIGITALE BRIEVENBUS / SCAN EN HERKEN;Mag ik zelf een digitale brievenbus aanmaken?;Mag ik zelf een digitale brievenbus aanmaken?;;FAQ;"Nee. IPAL beheert de digitale brievenbussen. U kunt een mail sturen naar
helpdesk@ipal.nu met daarin uw parochienummer en één of meerdere e-mailadressen waar
vanaf het toegestaan is om naar de digitale brievenbus te mailen. IPAL zal dan de digitale
brievenbus voor u aanmaken."
197;Exact;1. INRICHTING;1.6 DIGITALE BRIEVENBUS / SCAN EN HERKEN;Kan ik gebruik maken van Scan & Herken?;Kan ik gebruik maken van Scan & Herken?;;FAQ;"Voor enkele bisdommen is deze functionaliteit centraal ingeschakeld. Neem contact op
met uw bisdom over de mogelijkheden."
198;Exact;1. INRICHTING;1.7 BTW;Is de administratie geschikt voor het werken met BTW?;Is de administratie geschikt voor het werken met BTW?;;FAQ;"De standaardinrichting voor parochies voorziet niet in een BTW-administratie. Indien een
parochie BTW-plichtige activiteiten verricht, kan de administratie desgewenst door IPAL
worden aangevuld met de noodzakelijke BTW-inrichting."
199;Exact;2. BOEKEN;2.1 BEGINBALANS;Hoe kan ik de beginbalans invoeren in Exact Online?;Hoe kan ik de beginbalans invoeren in Exact Online?;;FAQ;"Graag verwijzen we u hiervoor naar het YouTube-filmpje:
https://www.youtube.com/watch?v=VGtr5lZytsQ
Het filmpje begin met het scherm “Aan de slag”. Dit krijgt u niet te zien. U kiest het pad
Financieel > Boekingen > Aanmaken en komt dan uit bij het scherm: “Boeking - Nieuw”.
Vanaf dat scherm verwijzen we u weer naar het filmpje.
In afwijking van het voorbeeld in het filmpje is het nummer van de (tegen)rekening
“tussenrekening beginbalans” niet 2900 maar 1798."
200;Exact;2. BOEKEN;2.2 INKOOP;Hoe kan ik een kostenplaats of kostendrager koppelen aan een boekingsregel?;Hoe kan ik een kostenplaats of kostendrager koppelen aan een boekingsregel?;;FAQ;"De boekingsregels in een dagboek (bv. inkoopboek, bankboek, kasboek) zijn niet
standaard voorzien van velden waar u de kostenplaats en kostendrager kunt invullen.
Deze dient een gebruiker per dagboek toe te voegen aan de boekingsregel. Exact Online
koppelt deze aanpassingen van de boekingsregel aan de betreffende gebruiker, zodat
deze actie per gebruiker maar eenmalig per dagboek nodig is. Aanpassing is mogelijk
door in het dagboek op het “gereedschapsicoontje” rechts bovenin en vervolgens op
Aanpassen te klikken. Door vervolgens de kostenplaats en kostendrager aan te vinken,
worden deze voortaan standaard opgenomen in de boekingsregel van het betreffende
dagboek."
201;Exact;2. BOEKEN;2.3 VERKOOP;Hoe ga ik om met de artikelen die al in mijn administratie staan?;Hoe ga ik om met de artikelen die al in mijn administratie staan?;;FAQ;"In de administratie staan onder andere artikelen ten behoeve van de kerkbijdrage (zie
onderstaand). Let op: deze dienen ter ondersteuning van de verwerking van de
kerkbijdrage in koppeling met DocBase. Aan deze artikel mag niets worden gewijzigd
zodat de koppeling intact blijft.
Voor een groot aantal andere scenario’s kan er worden gefactureerd vanuit Exact Online.
Hiervoor zijn eveneens artikelen aangemaakt en beschikbaar. Deze artikelen kunt u
desgewenst aanvullen of wijzigen. Denk hierbij aan artikelen voor grafrechten,
uitvaartdiensten of parochiebladen."
202;Exact;2. BOEKEN;2.4 BANK;"Na het importeren van de bankmutaties staan in het scherm “Af te handelen” alle
mutaties op groen/op de status “Afgehandeld”. Kan ik er dan van uit gaan dat dit goed is
geboekt?";"Na het importeren van de bankmutaties staan in het scherm “Af te handelen” alle
mutaties op groen/op de status “Afgehandeld”. Kan ik er dan van uit gaan dat dit goed is
geboekt?";;FAQ;"Nee. Hoewel zo veel mogelijk automatisch en correct wordt geboekt, kan er altijd een
boeking foutief worden afgehandeld. Controleer daarom altijd alle boekingsregels ongeacht
of ze op rood of groen staan. Voorbeeld: mutaties kunnen onterecht automatisch op
kerkbijdragen zijn geboekt terwijl het ook grafrechten/uitvaartdiensten/misintenties kan
betreffen."
203;Exact;2. BOEKEN;2.5 VERWERKEN BOEKINGEN;Moet ik boekingen verwerken?;Moet ik boekingen verwerken?;;FAQ;"Nee, dat is in elk geval niet nodig voor alle gewenste rapportages. Alleen na sluiting en
goedkeuring van de cijfers van een bepaald boekjaar kan voor verwerking van de
boekingen worden gekozen. Niet verwerkte boekingen kunnen altijd worden gewijzigd.
U kunt altijd nog terugkeren naar de oorspronkelijke niet verwerkte boeking in het
dagboek en de gewenste wijzigingen aanbrengen. Het heropenen van reeds verwerkte
boekingen kan alleen door uw bisdom of IPAL worden uitgevoerd."
204;Exact;2. BOEKEN;2.5 VERWERKEN BOEKINGEN;Hoe maak ik een boekingsverslag?;Hoe maak ik een boekingsverslag?;;FAQ;Hiervoor verwijzen wij u naar 3.1.
205;Exact;2. BOEKEN;2.6 VERWERKEN EN INCASSEREN KERKBIJDRAGEN;Hoe wordt de geboekte kerkbijdragen in Exact Online doorgezet naar DocBase?;Hoe wordt de geboekte kerkbijdragen in Exact Online doorgezet naar DocBase?;;FAQ;"Als u in Exact de kerkbijdrage-ontvangst geboekt heeft op grootboekrekening 8000 en
daarbij het relatienummer (= debiteurennummer) hebt ingevuld, dan wordt deze boeking in
de nachtverwerking doorgezet naar DocBase. U kunt de kerkbijdrage de dag erna dus
terugzien bij de betreffende debiteur in DocBase. Ook correctieboekingen op 8000 worden
in de nachtverwerking doorgezet naar DocBase."
206;Exact;2. BOEKEN;2.6 VERWERKEN EN INCASSEREN KERKBIJDRAGEN;Welke stappen moet ik in Exact Online uitvoeren om de kerkbijdragen te incasseren?;Welke stappen moet ik in Exact Online uitvoeren om de kerkbijdragen te incasseren?;;FAQ;"DocBase is de basis voor de registratie van kerkbijdragen en de incasso gegevens. Een
koppeling tussen DocBase en Exact Online zorgt ervoor dat de uiteindelijke incasso-
opdracht vanuit Exact Online kan worden verricht. Alvorens u hiermee aan de slag kunt,
dient er een aantal stappen te worden uitgevoerd. Hiervoor kunt het document
“Handleiding incasseren kerkbijdragen” raadplegen dat evenals deze FAQ’s is
opgenomen in de rubriek “Documenten” op de website www.rkk-online.nl."
207;Exact;2. BOEKEN;2.7 BEGROTING;Hoe kan ik de begroting invoeren in Exact Online?;Hoe kan ik de begroting invoeren in Exact Online?;;FAQ;"Dit is mogelijk via de onderstaande menupaden.
Financieel > Analyse en resultaten > Budgetten > Budgetscenario’s
Financieel > Analyse en resultaten > Budgetten > Aanmaken
Jaarbedragen kunnen worden ingevoerd bij periode 12. Het is dus niet verplicht deze
begroting te verdelen over de 12 perioden. Bij uitsplitsing van de begroting over
kostenplaatsen kunt u helemaal onderaan de lijst met het plusje (+) de betreffende
verdeling over kostenplaatsen invoeren."
208;Exact;3 OVERZICHTEN;;Hoe maak ik een boekingsverslag?;Hoe maak ik een boekingsverslag?;;FAQ;"Via Financieel > Boekingen en grootboekrekeningen > Overzichten > Boekingsverslag
Let op: Om ook kostenplaatsen en kostendragers zichtbaar te maken in het
boekingsverslag, dient onder het kopje “Aanvullende informatie” bij de optie
“Kostenanalyse” te worden gekozen voor “Code + Omschrijving”."
209;Exact;4 TIPS EN TRICKS;;Waar vind ik uitleg over het scherm waarin ik aan het werken ben?;Waar vind ik uitleg over het scherm waarin ik aan het werken ben?;;FAQ;"Als u in een bepaald scherm in Exact Online documentatie over dit specifieke scherm wilt
opvragen kunt u via F1 op het toetsenbord deze documentatie oproepen. Hetzelfde
bereikt u als u rechts bovenin op Help klikt gevolgd door “Help bij: {onderwerp}”. Behalve
informatie over het scherm krijgt u ook informatie over onderwerpen die hieraan
gerelateerd zijn."
210;Exact;4 TIPS EN TRICKS;;"Hoe voorkom ik dat ik tijdens het boeken van de bank of kas inkomende en uitgaande
bedragen door elkaar haal?";"Hoe voorkom ik dat ik tijdens het boeken van de bank of kas inkomende en uitgaande
bedragen door elkaar haal?";;FAQ;"Standaard is er een veld ingeschakeld genaamd “Bedrag”. Echter kunt u klikken op het
“gereedschapsicoontje” rechts bovenin en vervolgens op Aanpassen klikken waarna
de optie Bedrag kan worden omgezet naar Bedrag in + Bedrag uit. Vanaf nu zijn er 2
kolommen beschikbaar in de boeking voor zowel “bedrag in” als “bedrag uit”."
211;Exact;5 SPELREGELS;;Mag ik mijn eigen gebruikersgegevens aanpassen?;Mag ik mijn eigen gebruikersgegevens aanpassen?;;FAQ;"Nadat de inloggegevens aan u zijn verstuurd, worden uw gebruikersgegevens om
privacy-redenen door ons gecodeerd en daarmee geanonimiseerd. Hoewel u als
gebruiker zelf uw eigen profiel in Exact Online kunt aanpassen, verzoeken we u dringend
in elk geval uw gecodeerde voor- en achternaam NIET te wijzigen!"
212;Exact;5 SPELREGELS;;Aan welke instellingen of inrichting mag ik niet komen?;Aan welke instellingen of inrichting mag ik niet komen?;;FAQ;"o
Administratie-instellingen
o
Voor- en achternaam gebruiker: zie ook 5.1
o
Grootboekrekeningen: zie 1.1.2
o
Grootboekclassificaties
o
Kostenplaatsen: zie ook 1.4.3
o
BTW-codes: zie ook 1.7
o
De standaard ingerichte abonnementsvoorwaarden
o
De standaard ingerichte artikelen en artikelgroepen t.b.v. de kerkbijdragen: zie ook 2.3.1
o
De standaard ingerichte betalingscondities
o
De standaard ingerichte toewijzingsregels"
213;Exact;5 SPELREGELS;;Kan ik oefenen in een testomgeving?;Kan ik oefenen in een testomgeving?;;FAQ;"Er is geen afzonderlijke testomgeving beschikbaar waarin u kunt oefenen. Het is wel
mogelijk om na de overstap naar Exact Online tijdelijk te oefenen (in uw echte
administratie) voordat u daadwerkelijk gaat starten. In dat geval dient u, voordat u gaat
oefenen in uw echte administratie, een back-up aan te maken. Zie 5.5 voor het menupad.
Let op: als u klaar bent met oefenen dient u de back-up terug te lezen.
Let op: bovenstaande optie is niet mogelijk als u een koppeling heeft met DocBase."
214;Exact;5 SPELREGELS;;Hoe stel ik tweestapsverificatie in?;Hoe stel ik tweestapsverificatie in?;;FAQ;"Zorg dat u (via de Google Play Store) de app “Google Authenticator” op uw smartphone
heeft geïnstalleerd.
Log in Exact in met uw gebruikersnaam en wachtwoord. Zodra u zich in het scherm bevindt,
waar u de verificatiecode moet invullen, klikt u op de blauwe link Hoe stel ik verificatie in
twee stappen opnieuw in?. In het volgende scherm klikt u op E-mail versturen. U ontvangt
nu een e-mail-bericht ontvangen met daarin een link om de Google Authenticator verder in
te stellen."
215;Exact;5 SPELREGELS;;Moet ik een back-up maken en zo ja, wanneer?;Moet ik een back-up maken en zo ja, wanneer?;;FAQ;"Het is in principe niet nodig om een back-up te maken. In het geval van calamiteiten is
het voordeel van een onlineboekhoudpakket dat alles bewaard blijft. Denk hierbij aan
stroomstoringen en brand. Echter, in het geval dat er bijvoorbeeld boekingen onjuist zijn
geregistreerd, facturen verkeerd zijn verstuurd of er iets misgaat tijdens het betalings- of
incassoproces, is het alleen mogelijk om dit terug te draaien en terug te vallen op een
eerdere back-up als deze handmatig is aangemaakt in de betreffende administratie.
Exact Online maakt deze dus niet automatisch aan. Het terugzetten van een back-up
brengt niettemin ook gevaren met zich mee en wordt daarom toch afgeraden. Het
corrigeren van gemaakte fouten kan dan ook beter gedaan worden door
boekhoudkundige correcties zoals aanmaken credit-facturen, memoriaal-boekingen etc.
Het teruglezen van een back-up zou dus problemen kunnen verhelpen, maar ook
nieuwe problemen creëren. Exact Online is immers gekoppeld aan DocBase en
mogelijk ook aan één of meerdere banken, waarmee gegevens worden uitgewisseld.
Indien er bijvoorbeeld in de periode tussen het aanmaken en het teruglezen van de back-
up in DocBase gegevens worden ingevoerd of gewijzigd die ook voor Exact Online
relevant zijn, worden deze ook meteen in Exact Online verwerkt (bv. aanmaak nieuwe
debiteur, wijziging of toevoeging bankrekeningnummer debiteur, aanmaak of beëindiging
incasso-abonnement). Deze gegevens in Exact Online gaan verloren door het teruglezen
van de back-up. Hoe meer tijd er is verstreken tussen het maken van de back-up en het
teruglezen hiervan, hoe groter de kans is dat er in de tussentijd mutaties vanuit DocBase
in Exact Online zijn verwerkt en hoe groter dus de kans is dat er bij het teruglezen van de
back-up mutaties verloren gaan. Het opsporen hiervan is erg lastig. Indien in die
tussentijd bv. een debiteur is aangemaakt in DocBase en Exact Online, is vanuit Exact
Online het debiteurennummer teruggekoppeld naar DocBase. De DocBase-gebruiker
denkt dan dat alles goed is gegaan in Exact Online, terwijl in Exact Online door het
teruglezen van een back-up de gegevens van deze debiteur inmiddels volledig
ontbreken. Daarnaast kan Exact Online gekoppeld zijn aan één of meerdere banken, op
grond waarvan bankmutaties automatisch binnenkomen in de Exact-administratie.
Bankmutaties die zijn binnengekomen na het tijdstip van de back-up gaan door
het teruglezen van de back-up verloren, met vervelende gevolgen voor
boekingen, afletteringen etc.
Conclusie: gaat u handelingen binnen Exact Online verrichten over de afloop waarvan u
onzeker bent, dan kan een back-up uitkomst bieden, maar realiseer u dan ook wat de
gevolgen kunnen zijn van het teruglezen van deze back-up! Probeer die gevolgen zoveel
mogelijk te bepreken door voor die handelingen een geschikt tijdstip te kiezen en door te
communiceren met de andere Exact- en DocBase-gebruikers in uw parochie."
216;DocBase;Werkgroepstructuur;Werkgroepstructuur;Opzet werkgroep structuur;Opzet werkgroep structuur;;FAQ;"Opzet werkgroep structuur
Opzet werkgroep structuur
Inhoud
1.
Inleiding ........................................................................................................................................... 1
2.
Aandachtsveld ................................................................................................................................. 1
3.
Werkgroep ....................................................................................................................................... 2
4.
Werkgroep code .............................................................................................................................. 2
5.
Functies ........................................................................................................................................... 2
6.
Opzetten werkgroep structuur ........................................................................................................ 3
7.
Toekennen vrijwilligerstaken .......................................................................................................... 3
8.
Beëindigen vrijwilligerstaken .......................................................................................................... 4"
217;DocBase;Werkgroepstructuur;Werkgroepstructuur;1. Inleiding;1. Inleiding;;FAQ;"Dit document beschrijft hoe de vrijwilligersorganisatie van een parochie in DocBase geadministreerd
kan worden.
Bij het maken van de opzet, kan de structuur met aandachtvelden, werkgroepen, werkgroepcodes en
functie het best eerst in Excel worden aangemaakt. Dit werkt snel en met behulp van de Excel
functies kan gemakkelijker gesorteerd en gefilterd worden om tijdens het opzetten van de structuur,
het overzicht te behouden.
De opzet van aandachtgebieden, werkgroepen en functies hangt natuurlijk af van de organisatie van
de parochie. De in dit document geadviseerde opzet lijkt de meeste organisatiestructuren van
parochies af te dekken. Het is met het oog op toekomstige fusies aan te raden nu zoveel als mogelijk
aan deze opzet vast te houden.
Nadat de organisatie is gedocumenteerd, kan deze in DocBase worden aangemaakt (zie hoofdstuk 6)."
218;DocBase;Werkgroepstructuur;Werkgroepstructuur;2. Aandachtsveld;2. Aandachtsveld;;FAQ;"Definieer de aandachtsvelden waarbinnen de werkgroepen zijn te verdelen. Advies:
Aandachtsveld
Omschrijving
Algemeen
Werkgroepen die voor de gehele parochie werkzaam zijn en niet onder
onderstaande aandachtsvelden vallen, denk aan kerkbestuur, bezorging
parochieblad, ledenadministratie.
Begraafplaatsen Hieronder vallen alle werkgroepen die zich met de begraafplaatsen
bezighouden. Denk aan begraafplaatsbeheerders, begraafplaatsadministratie.
Catechese
Hieronder vallen alle werkgroepen die zich bezighouden met Catechese
(leren), zoals voorbereiding van sacramenten
Diaconie
Hieronder vallen alle werkgroepen die zich bezighouden met Diaconie
(dienen), zoals ziekenbezoek.
Gebouwen
Hieronder vallen alle werkgroepen die zich bezighouden met gebouwen en
aanverwante zaken zoal tuinonderhoud, gebouwbeheer.
Koor
Hieronder vallen alle koren en eventueel organisten die niet bij een koor
horen (bijv., ten behoeve van samenzang).

Opzet werkgroep structuur
Aandachtsveld
Omschrijving
Liturgie
Hieronder vallen alle werkgroepen die zich bezighouden met Liturgie (vieren),
zoals misdienaars, kosters, bloemengroep en lectoren
Kandidaten
Voor leden die hebben aangegeven dat ze wel vrijwilligerswerk willen doen
maar nog geen taken hebben of met een bepaalde werkgroep stoppen maar
hebben aangegeven (in de toekomst) wel wat anders te willen doen.
Evenementen
Hieronder vallen o.a. cursussen en reizen die door de parochie worden
georganiseerd.

Maak de lijst niet te lang, dat helpt bij het toekennen van vrijwilligerstaken naar het opzoeken van de
werkgroep."
219;DocBase;Werkgroepstructuur;Werkgroepstructuur;3. Werkgroep;3. Werkgroep;;FAQ;"Onder een werkgroep wordt verstaan “een groeperingen van actieve mensen zoals besturen,
commissies, comités, koren, projectgroepen, cursussen en degelijke met een rol binnen de parochie
en/of een geloofsgemeenschap”. Hierin kunnen ook beroepskrachten en mensen die geen lid van de
RK Kerk zijn (Lokale relatie), worden opgenomen.
Gebruik de naam zoals de werkgroep in de parochie bekend staat.
Verdeel de werkgroepen die in de parochie actief zijn binnen de aandachtsvelden.
4.
Werkgroep code
Als er binnen uw parochie meerdere wijken of kerken zijn, neem dan in de kolom Werkgroepcode
een aanduiding op; verwijzing naar kerk of wijk (bijvoorbeeld afkorting of (oud)Kaskinummer)
gevolgd door een code die de werkgroep aanduidt. Dit helpt later als er een lijst gemaakt moet
worden van de werkgroepen van een bepaalde wijk.
Als de parochie een structuur gebruikt waarbij functionarissen (bijvoorbeeld bestuursleden) een
verantwoordelijkheid dragen voor specifieke werkgroepen, kan ervoor gekozen worden om dit voor
werkgroepen die vallen onder het aandachtsgebied “Algemeen” in de werkgroep code te verwerken.
5.
Functies
Definieer de functies die binnen de werkgroepen gebruikt worden. Let erop dat ieder lid van een
werkgroep een functie krijgt toegewezen.
Als bijvoorbeeld een lijst van alle contactpersonen aangemaakt moet worden, kan in DocBase een
selectie gemaakt worden op functie: “= secretaris or coördinator”. Voorbeeld:
Functies:
Beheerder
Bestuurslid
Coördinator
Dirigent
Lid
Organist
Penningmeester
Secretaris

Opzet werkgroep structuur

(PT = Pastoraal Team)
6.
Opzetten werkgroep structuur
Voordat een vrijwilligerstaak aan een lid wordt toegekend, moet eerst de werkgroep structuur
worden opgezet. Dit wordt gedaan in de tabel 13. Werkgroepstructuur. Open de tabel en klik op
“Nieuw +” om het invulscherm te openen.
De werkgroep namen komen meerdere keren voor; voor iedere functie één regel. Denk bij het
invullen van de tabel aan het aanvinken van het veld “Gegevens vasthouden” zodat terugkerende
gegevens niet steeds opnieuw ingevuld hoeven te worden.
Voorbeeld tabel 13. Werkgroepstructuur
Aandachtsveld Werkgroepnaam
Werkgroepcode Functie
Liturgie
Acolieten-Misdienaars
PE-AcMi
Lid
Liturgie
Acolieten-Misdienaars
PE-AcMi
Coördinator
Liturgie
Acolieten-Misdienaars
HHart-AcMi
Lid
Koor
Gelegenheidskoor St. Thomas
Th-GK
Lid
Koor
Gelegenheidskoor St. Thomas
Th-GK
Dirigent
Koor
Gelegenheidskoor St. Thomas
Th-GK
Voorzitter
Koor
Gelegenheidskoor St. Thomas
Th-GK
Secretaris
Algemeen
Automatisering
ALG-Aut
Coördinator
Gebouwen
Beheer gebouwen
ALG-Geb
Coördinator
Gebouwen
Schoonmakers St. Petrus
PE-Sch
Lid
Evenementen
Alpha cursus
EV-Alpha
Lid
Kandidaten

(In het voorbeeld staat PE voor St. Petrus en Th voor H. Thomas)
7.
Toekennen vrijwilligerstaken"
220;DocBase;Werkgroepstructuur;Werkgroepstructuur;"8. In het veld “Toelichting” kan eventueel een specificatie van de functie worden opgenomen;";"8. In het veld “Toelichting” kan eventueel een specificatie van de functie worden opgenomen;";;FAQ;bijvoorbeeld bij bestuursleden welke portefeuille betreffende persoon heeft
221;DocBase;Werkgroepstructuur;Werkgroepstructuur;9. Klik op OK.;9. Klik op OK.;;Procedure;"Als een lid heeft aangegeven wel vrijwilligerswerk te willen doen, maar nog geen vrijwilligerstaak
heeft, selecteer dan aandachtveld “Kandidaat”. In het veld “Toelichting” kan opgenomen worden
waar de betreffende persoon interesse/capaciteiten voor heeft.
Vertegenwoordiger PT
Vicevoorzitter
Voorzitter

Opzet werkgroep structuur
LET OP!!
Bij het aan een lid toekennen van een werkgroep, de betreffende werkgroep en functie altijd via het
zoekvenster (vergrootglas) opzoeken. Als het handmatig wordt gedaan en er een typefout wordt
gemaakt, wordt er een nieuwe regel toegevoegd aan de tabel 13. Werkgroepstructuur.
8.
Beëindigen vrijwilligerstaken"
222;DocBase;Opschonen ledenadministratie;Opschonen ledenadministratie;"DocBase; Opschonen ledenadministratie (versie 1.0)";"DocBase; Opschonen ledenadministratie (versie 1.0)";;Procedure;"Handleidingen - procedures:
DocBase; Opschonen ledenadministratie (versie 1.0)

Inhoud
1.
Versie beheer ................................................................................................................................. 1
2.
Opschonen/controle door de parochie .......................................................................................... 1
3.
Zoekopdracht ................................................................................................................................. 3
3.1.
Hoe sla ik een zoekopdracht op; ........................................................................................... 3
4.
Opschonen/controle op 01 Ledenadministratie ............................................................................. 5
4.1.
Dubbele leden; ...................................................................................................................... 5
4.2.
Leden met Sila-mutatie 12 Notificatie van een afmelding door SILA (kerkverlater).............. 5
4.3.
Aanmelding in behandeling................................................................................................... 5
4.4.
Selecteer leden zonder postcode .......................................................................................... 6
4.5.
Selecteer leden met status Lokale relatie en Sila-indicatie is ja ............................................ 6
4.6.
Selecteer leden met de status Lokale relatie ........................................................................ 7
4.7.
Leden die voorkeurslid zijn van uw parochie/locatie ............................................................ 8
4.8.
Selecteer leden met status Overleden en Hoofdbewoner Bevat niet n.v.t. .......................... 8
4.9.
Om per huishouden één hoofdbewoner te maken; .............................................................. 9
4.10.
Selecteer leden met Sila-stip en geloofsovertuiging is niet RK .............................................. 9
5.
Opschonen/controles op 03. Debiteuren ..................................................................................... 10
5.1.
Debiteuren met foutmelding anders dan geen bankrekeningnummer ............................... 10
5.2.
Debiteuren zonder kostenplaats/locatie ............................................................................. 10
6.
Opschonen/controles op 04. Abonnementen .............................................................................. 11
6.1.
Abonnementen met foutmelding ....................................................................................... 11
6.2.
Abonnementen zonder kostenplaats/locatie ...................................................................... 11
6.3.
Abonnementen met status Actie vereist ............................................................................. 12"
223;DocBase;Opschonen ledenadministratie;Opschonen ledenadministratie;1. Versie beheer;1. Versie beheer;;FAQ;"datum
Aanpassing
Auteur
Versie 1.0
J.Arends/A.Vromen
(3.9 verwijderd, 3.10 wordt 3.9))
J.Arends/A.Vromen
Uitgebreid met enkele controles
A.Vromen"
224;DocBase;Opschonen ledenadministratie;Opschonen ledenadministratie;2. Opschonen/controle door de parochie;2. Opschonen/controle door de parochie;;Procedure;"Handleidingen - procedures:
DocBase; Opschonen ledenadministratie (versie 1.0)

Als u DocBase gebruikt om selecties te maken, bijvoorbeeld voor de actie Kerkbalans of andere
doeleinden, is het belangrijk dat de ledenadministratie goed is bijgehouden.
Een actuele en correcte ledenadministratie zorgt ervoor dat de selecties betrouwbaar zijn. U
voorkomt hiermee dat u op het laatste moment nog veel tijd kwijt bent aan het controleren of
aanpassen van gegevens.
Om de ledenadministratie goed op orde te houden, is het belangrijk om regelmatig een paar
eenvoudige controles uit te voeren. In deze handleiding leggen we stap voor stap uit welke controles
dit zijn en hoe u die kunt uitvoeren.

Handleidingen - procedures:
DocBase; Opschonen ledenadministratie (versie 1.0)"
225;DocBase;Opschonen ledenadministratie;Opschonen ledenadministratie;3. Zoekopdracht;3. Zoekopdracht;;FAQ;"De basis van de meeste controles is een zoekopdracht. Met behulp van selectiecriteria kunt u een
goede selectie maken voor de controle. Als u deze zoekopdracht vaker wilt maken of vaker nodig
heeft dan kunt u deze zoekopdracht opslaan."
226;DocBase;Opschonen ledenadministratie;3. Zoekopdracht;"3.1. Hoe sla ik een zoekopdracht op;";"3.1. Hoe sla ik een zoekopdracht op;";;Procedure;"Zodra u de zoekcriteria heeft ingevuld en op Vind nu! heeft geklikt ziet u de resultaten van de
zoekopdracht. Klik op Overige functies en daarna op Opslaan zoekopdracht.

Geef bij de omschrijving een duidelijk naam op.

Zorg ervoor dat u uit de naam duidelijk kunt herleiden welke criteria u voor de zoekopdracht heeft
gebruikt.
Let goed op de vinkjes boven in het invulscherm. Via deze vinkjes geeft u aan of u email berichten
wilt ontvangen als een opgeslagen zoekopdracht een nieuw of gewijzigd resultaat geeft. Wilt u dat
niet, zorg ervoor dat er geen vinkjes staan!

Als u deze zoekopdracht als tabblad zichtbaar wilt houden, zet dan een vinkje bij Toon als tabblad.
Als u dan naar 01. Ledenadministratie gaat dan ziet u daar een extra tabblad met de omschrijving van
deze zoekopdracht.
Als u meerdere opgeslagen zoekopdrachten heeft dan ziet u deze hier ook. U kunt deze ook altijd
terugvinden bij Mijn werkplek > Mijn zoekopdrachten. Hier kunt u ook zoekopdrachten verwijderen
of bewerken.
In de kolom Volgnr kunt u aangeven in welke volgorde de tabbladen zichtbaar zijn.

Handleidingen - procedures:
DocBase; Opschonen ledenadministratie (versie 1.0)

Als u een vinkje zet bij de kolom Standaard dan is deze zoekdracht meteen zichtbaar als u naar 01.
Ledenadministratie (of daar waar u de zoekopdracht heeft gemaakt) gaat. DocBase gaat dan meteen
naar het zoekresultaat van de opgeslagen zoekopdracht. Wij adviseren om deze optie niet te
gebruiken.

Handleidingen - procedures:
DocBase; Opschonen ledenadministratie (versie 1.0)"
